Dataset,LabelingStrategy,LabelingRatio,ImbalanceRatio,H,N,lam,alpha,beta,gamma,Best_GMean
SEA,nonuniform,0.2,0.5,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.9550204638690328
SEA,nonuniform,0.5,0.01,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.69980551871805
SEA,nonuniform,0.5,0.1,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.9230033385988198
SEA,nonuniform,0.5,0.3,90,48,0.12349395745646426,0.0016279631209593181,1.4377973923825902,1.3752386206606317,0.963313736660927
SEA,nonuniform,0.5,0.5,85,45,0.4951208066196363,0.004401079793201595,1.606007414066688,0.4146066868341137,0.9738332686468939
SEA,nonuniform,1.0,0.01,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.8183905665079014
SEA,nonuniform,1.0,0.1,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.9408049483155336
SEA,nonuniform,1.0,0.3,90,48,0.12349395745646426,0.0016279631209593181,1.4377973923825902,1.3752386206606317,0.9686698656739985
SEA,nonuniform,1.0,0.5,90,48,0.12349395745646426,0.0016279631209593181,1.4377973923825902,1.3752386206606317,0.9809109024880103
SINE,uniform,0.5,0.01,75,48,0.22679423346026364,0.0012156234824321848,0.6664717289875649,0.12881870902116602,0.2820702294179866
STAGGER,uniform,0.05,0.01,92,8,0.33551256673858953,0.003879155156356765,0.9521921760997948,1.829188539910996,0.34116834926541906
STAGGER,uniform,0.05,0.1,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.7731452213080237
STAGGER,uniform,0.05,0.3,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.9373651642774943
STAGGER,uniform,0.05,0.5,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.9493641814623132
STAGGER,uniform,0.1,0.01,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.5036963251842652
STAGGER,uniform,0.1,0.1,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.8733145117297064
STAGGER,uniform,0.1,0.3,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.9722163883504913
STAGGER,uniform,0.1,0.5,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.970208115804786
STAGGER,uniform,0.2,0.01,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.540204791368076
STAGGER,uniform,0.2,0.1,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.9131999145664143
SINE,uniform,0.5,0.1,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.7032452177755728
STAGGER,uniform,0.2,0.3,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.9879432676877903
STAGGER,uniform,0.2,0.5,85,36,0.64799454010951,0.004140293634988227,0.15531340279049155,1.1480407764301883,0.9810983993762467
STAGGER,uniform,0.5,0.01,90,48,0.12349395745646426,0.0016279631209593181,1.4377973923825902,1.3752386206606317,0.6790207627807513
STAGGER,uniform,0.5,0.1,50,47,0.5045948634910076,0.0011897073288624571,1.324910554708328,1.1443548695961854,0.9859306995924455
STAGGER,uniform,0.5,0.3,55,27,0.30049615854087147,0.001134514080066192,0.9433629867917858,1.9866606418212238,0.9945083334147671
STAGGER,uniform,0.5,0.5,85,36,0.64799454010951,0.004140293634988227,0.15531340279049155,1.1480407764301883,0.9943746012474001
STAGGER,uniform,1.0,0.01,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.7495263356857496
STAGGER,uniform,1.0,0.1,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.9933566942756924
STAGGER,uniform,1.0,0.3,60,25,0.020473111460985415,0.0011574154273749709,0.744137583684386,1.1390719735002368,0.9963684729759873
STAGGER,uniform,1.0,0.5,77,40,0.04077279388540048,0.001393082769961405,0.9247581312399284,1.5290440543531054,0.996124193023122
SINE,uniform,0.5,0.3,84,38,0.32508944116762134,0.004106737856075749,0.3408133843097541,1.1041050420547447,0.8029801847795232
STAGGER,nonuniform,0.05,0.01,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.42827086679966697
STAGGER,nonuniform,0.05,0.1,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.7319673962584146
STAGGER,nonuniform,0.05,0.3,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.929433095546055
STAGGER,nonuniform,0.05,0.5,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.9338236267201134
STAGGER,nonuniform,0.1,0.01,75,48,0.22679423346026364,0.0012156234824321848,0.6664717289875649,0.12881870902116602,0.471683831310073
STAGGER,nonuniform,0.1,0.1,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.8434236555494627
STAGGER,nonuniform,0.1,0.3,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.9678806641461285
STAGGER,nonuniform,0.1,0.5,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.9606506811616692
STAGGER,nonuniform,0.2,0.01,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.63951868857736
STAGGER,nonuniform,0.2,0.1,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.9169787669470971
SINE,uniform,0.5,0.5,97,36,0.6935324396300978,0.0286451405207776,0.3518757205519988,1.5772719657330507,0.8446422272472474
STAGGER,nonuniform,0.2,0.3,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.9868587106349224
STAGGER,nonuniform,0.2,0.5,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.9767245159703366
STAGGER,nonuniform,0.5,0.01,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.6973518768372887
STAGGER,nonuniform,0.5,0.1,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.9842104111126472
STAGGER,nonuniform,0.5,0.3,75,48,0.22679423346026364,0.0012156234824321848,0.6664717289875649,0.12881870902116602,0.9940310950859473
STAGGER,nonuniform,0.5,0.5,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.9951232662536612
STAGGER,nonuniform,1.0,0.01,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.7279480578290395
STAGGER,nonuniform,1.0,0.1,98,49,0.004900953050904772,0.001050276765329609,0.788675835604729,0.1652428650436977,0.9946791607107317
STAGGER,nonuniform,1.0,0.3,60,25,0.020473111460985415,0.0011574154273749709,0.744137583684386,1.1390719735002368,0.9972020117552326
STAGGER,nonuniform,1.0,0.5,54,23,0.7519789048430974,0.0012880304531780393,0.729523714119106,0.8614726642600871,0.996999483322932
SINE,uniform,1.0,0.01,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.38047118304446736
SINE,uniform,1.0,0.1,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.7375525587213856
SINE,uniform,1.0,0.3,84,38,0.32508944116762134,0.004106737856075749,0.3408133843097541,1.1041050420547447,0.8415637469646823
SINE,uniform,1.0,0.5,97,36,0.6935324396300978,0.0286451405207776,0.3518757205519988,1.5772719657330507,0.865958762561954
SINE,uniform,0.05,0.3,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.71567677892952
SINE,nonuniform,0.05,0.01,85,12,0.3037830537411999,0.0011406341876119255,1.9261373496615832,1.58698961111526,0.2594679213353694
SINE,nonuniform,0.05,0.1,64,6,0.1288509419684017,0.0017027948362089988,1.06699692659737,0.2807961568212469,0.48653016946833655
SINE,nonuniform,0.05,0.3,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.7117617949339258
SINE,nonuniform,0.05,0.5,84,38,0.32508944116762134,0.004106737856075749,0.3408133843097541,1.1041050420547447,0.7660755623153018
SINE,nonuniform,0.1,0.01,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.27956659797105066
SINE,nonuniform,0.1,0.1,64,6,0.1288509419684017,0.0017027948362089988,1.06699692659737,0.2807961568212469,0.5161917416099607
SINE,nonuniform,0.1,0.3,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.7414934846728198
SINE,nonuniform,0.1,0.5,84,38,0.32508944116762134,0.004106737856075749,0.3408133843097541,1.1041050420547447,0.7796611361025395
SINE,nonuniform,0.2,0.01,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.24389510545673332
SINE,nonuniform,0.2,0.1,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.6269536165209635
SINE,uniform,0.05,0.5,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.7543324875346173
SINE,nonuniform,0.2,0.3,84,38,0.32508944116762134,0.004106737856075749,0.3408133843097541,1.1041050420547447,0.7597494423211286
SINE,nonuniform,0.2,0.5,97,36,0.6935324396300978,0.0286451405207776,0.3518757205519988,1.5772719657330507,0.8028919189675167
SINE,nonuniform,0.5,0.01,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.27364679758170224
SINE,nonuniform,0.5,0.1,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.6939988446354406
SINE,nonuniform,0.5,0.3,84,38,0.32508944116762134,0.004106737856075749,0.3408133843097541,1.1041050420547447,0.811590421817934
SINE,nonuniform,0.5,0.5,97,36,0.6935324396300978,0.0286451405207776,0.3518757205519988,1.5772719657330507,0.8411427299270895
SINE,nonuniform,1.0,0.01,51,35,0.007323626358070765,0.0012407482693307485,0.5036582936777547,1.6908715911488859,0.31475492074676165
SINE,nonuniform,1.0,0.1,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.7402298794696562
SINE,nonuniform,1.0,0.3,84,38,0.32508944116762134,0.004106737856075749,0.3408133843097541,1.1041050420547447,0.8359485548929344
SINE,nonuniform,1.0,0.5,97,36,0.6935324396300978,0.0286451405207776,0.3518757205519988,1.5772719657330507,0.8675596498077711
SINE,uniform,0.1,0.01,89,23,0.3979789728990963,0.001166835277638895,1.6041142775781039,0.6051456361752533,0.2615714379521336
AGRAWAL,uniform,0.05,0.01,52,12,0.6897165635868227,0.0010634304002277645,1.8158377856446786,1.2358251862642864,0.18945928007223659
AGRAWAL,uniform,0.05,0.1,77,40,0.04077279388540048,0.001393082769961405,0.9247581312399284,1.5290440543531054,0.3844920896637885
AGRAWAL,uniform,0.05,0.3,98,49,0.004900953050904772,0.001050276765329609,0.788675835604729,0.1652428650436977,0.5049893270388676
AGRAWAL,uniform,0.05,0.5,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.6047208851575571
AGRAWAL,uniform,0.1,0.01,85,12,0.3037830537411999,0.0011406341876119255,1.9261373496615832,1.58698961111526,0.2360165321983652
AGRAWAL,uniform,0.1,0.1,67,34,0.003930646012168618,0.001051163588942739,0.8201894649339257,0.8433353628094427,0.3876284288846354
AGRAWAL,uniform,0.1,0.3,20,35,0.02306413585676862,0.0022506218935652443,0.2689385218184528,0.5205385832926103,0.5367867068481873
AGRAWAL,uniform,0.1,0.5,75,48,0.22679423346026364,0.0012156234824321848,0.6664717289875649,0.12881870902116602,0.6605877040001696
AGRAWAL,uniform,0.2,0.01,64,6,0.1288509419684017,0.0017027948362089988,1.06699692659737,0.2807961568212469,0.20759099332944897
AGRAWAL,uniform,0.2,0.1,71,19,0.0024134032288292105,0.003950269493046084,0.42811343914306443,0.12303501259179968,0.4214111409573468
SINE,uniform,0.1,0.1,64,6,0.1288509419684017,0.0017027948362089988,1.06699692659737,0.2807961568212469,0.5313140572950134
AGRAWAL,uniform,0.2,0.3,75,48,0.22679423346026364,0.0012156234824321848,0.6664717289875649,0.12881870902116602,0.6826604630032121
AGRAWAL,uniform,0.2,0.5,75,48,0.22679423346026364,0.0012156234824321848,0.6664717289875649,0.12881870902116602,0.7673633119208537
AGRAWAL,uniform,0.5,0.01,81,12,0.011799490134727756,0.0010740442063532213,0.6647371288051735,0.594269953824625,0.27239410662059
AGRAWAL,uniform,0.5,0.1,75,48,0.22679423346026364,0.0012156234824321848,0.6664717289875649,0.12881870902116602,0.5334373982150031
AGRAWAL,uniform,0.5,0.3,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.770721167729721
AGRAWAL,uniform,0.5,0.5,75,48,0.22679423346026364,0.0012156234824321848,0.6664717289875649,0.12881870902116602,0.8204829806780534
AGRAWAL,uniform,1.0,0.01,93,5,0.002703094349265344,0.0037105931531910955,0.7339607179596656,0.6925483640462139,0.20836549410135088
AGRAWAL,uniform,1.0,0.1,75,48,0.22679423346026364,0.0012156234824321848,0.6664717289875649,0.12881870902116602,0.6916356120812803
AGRAWAL,uniform,1.0,0.3,75,48,0.22679423346026364,0.0012156234824321848,0.6664717289875649,0.12881870902116602,0.8365521105683952
AGRAWAL,uniform,1.0,0.5,62,46,0.5553251543709784,0.003650050738368859,0.5070599933113854,1.2984107099336182,0.8665348080416523
SINE,uniform,0.1,0.3,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.7211144651594943
AGRAWAL,nonuniform,0.05,0.01,85,12,0.3037830537411999,0.0011406341876119255,1.9261373496615832,1.58698961111526,0.2920231307170622
AGRAWAL,nonuniform,0.05,0.1,98,49,0.004900953050904772,0.001050276765329609,0.788675835604729,0.1652428650436977,0.3713560343631255
AGRAWAL,nonuniform,0.05,0.3,98,49,0.004900953050904772,0.001050276765329609,0.788675835604729,0.1652428650436977,0.48966368259743287
AGRAWAL,nonuniform,0.05,0.5,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.5937543832072718
AGRAWAL,nonuniform,0.1,0.01,86,6,0.3208042704779914,0.004992510771459839,1.1515482249562337,0.21256447089903857,0.2435454066137987
AGRAWAL,nonuniform,0.1,0.1,81,12,0.011799490134727756,0.0010740442063532213,0.6647371288051735,0.594269953824625,0.3661076779575832
AGRAWAL,nonuniform,0.1,0.3,58,46,0.0033146684520526156,0.0013833648396252064,0.4283717831400049,1.2076268532060033,0.5317301961907857
AGRAWAL,nonuniform,0.1,0.5,62,46,0.5553251543709784,0.003650050738368859,0.5070599933113854,1.2984107099336182,0.6630148945924361
AGRAWAL,nonuniform,0.2,0.01,81,12,0.011799490134727756,0.0010740442063532213,0.6647371288051735,0.594269953824625,0.1995538818394974
AGRAWAL,nonuniform,0.2,0.1,81,12,0.011799490134727756,0.0010740442063532213,0.6647371288051735,0.594269953824625,0.38691964944975743
SINE,uniform,0.1,0.5,84,38,0.32508944116762134,0.004106737856075749,0.3408133843097541,1.1041050420547447,0.7888588275635698
AGRAWAL,nonuniform,0.2,0.3,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.6785292247528998
AGRAWAL,nonuniform,0.2,0.5,75,48,0.22679423346026364,0.0012156234824321848,0.6664717289875649,0.12881870902116602,0.7746993812547475
AGRAWAL,nonuniform,0.5,0.01,81,12,0.011799490134727756,0.0010740442063532213,0.6647371288051735,0.594269953824625,0.24546584872578242
AGRAWAL,nonuniform,0.5,0.1,75,48,0.22679423346026364,0.0012156234824321848,0.6664717289875649,0.12881870902116602,0.5434205709582454
AGRAWAL,nonuniform,0.5,0.3,75,48,0.22679423346026364,0.0012156234824321848,0.6664717289875649,0.12881870902116602,0.7817686128796864
AGRAWAL,nonuniform,0.5,0.5,74,40,0.3897139595973644,0.00898538328112351,0.7130898374013127,0.15779113718862559,0.8224092582664235
AGRAWAL,nonuniform,1.0,0.01,93,5,0.002703094349265344,0.0037105931531910955,0.7339607179596656,0.6925483640462139,0.24320493089302822
AGRAWAL,nonuniform,1.0,0.1,75,48,0.22679423346026364,0.0012156234824321848,0.6664717289875649,0.12881870902116602,0.6985454066413447
AGRAWAL,nonuniform,1.0,0.3,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.8323141493127403
AGRAWAL,nonuniform,1.0,0.5,62,46,0.5553251543709784,0.003650050738368859,0.5070599933113854,1.2984107099336182,0.8692708653666728
SINE,uniform,0.2,0.01,92,8,0.33551256673858953,0.003879155156356765,0.9521921760997948,1.829188539910996,0.22136502630823046
SEA,uniform,0.05,0.01,64,6,0.1288509419684017,0.0017027948362089988,1.06699692659737,0.2807961568212469,0.27999264022414355
SEA,uniform,0.05,0.1,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.793255659871999
SEA,uniform,0.05,0.3,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.9082602227863109
SEA,uniform,0.05,0.5,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.930346953854011
SEA,uniform,0.1,0.01,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.44669377661556287
SEA,uniform,0.1,0.1,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.8240759168478772
SEA,uniform,0.1,0.3,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.9337560059198051
SEA,uniform,0.1,0.5,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.9442458737145664
SEA,uniform,0.2,0.01,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.5382308135989282
SEA,uniform,0.2,0.1,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.9004620367060561
SINE,uniform,0.2,0.1,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.6298796505580027
SEA,uniform,0.2,0.3,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.9429130596096862
SEA,uniform,0.2,0.5,85,45,0.4951208066196363,0.004401079793201595,1.606007414066688,0.4146066868341137,0.9575417111608471
SEA,uniform,0.5,0.01,79,47,0.6171273120029617,0.0012116475782585684,0.47874998709294714,1.2182971153095623,0.6707695690308938
SEA,uniform,0.5,0.1,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.9280635844481036
SEA,uniform,0.5,0.3,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.9627334162167286
SEA,uniform,0.5,0.5,90,48,0.12349395745646426,0.0016279631209593181,1.4377973923825902,1.3752386206606317,0.9726957148540085
SEA,uniform,1.0,0.01,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.771303989313689
SEA,uniform,1.0,0.1,83,42,0.30919333990622516,0.0011271064593216917,0.8628742643456749,0.46162490513729126,0.9392630448940814
SEA,uniform,1.0,0.3,90,48,0.12349395745646426,0.0016279631209593181,1.4377973923825902,1.3752386206606317,0.9704645746881347
SEA,uniform,1.0,0.5,90,48,0.12349395745646426,0.0016279631209593181,1.4377973923825902,1.3752386206606317,0.9804983619077348
